defect_id,card_id,audit_item,defect_type,severity,location_file,location_data,affected_rows,affected_tickers,affected_dates_range,reconciliation_status,reconciliation_rate,evidence_summary,repair_path,repair_feasibility,repair_effort_estimate,downstream_block_cards,notes,discovered_at
G5_000001,KR-G5-ADJOHLC-CORPACT-AUDIT-001,adjusted_column_existence,adjusted_column_missing,critical,research_input_data/inputs/equity_panels/dynamic_top100_2018_2024_panel.csv,panel/columns,969208,815,2018-01-02 ~ 2024-12-30,not_applicable,,Panel has no adjusted_* OHLC columns; only raw 시가/고가/저가/종가,requires_external_source,medium,1-4 weeks vendor or 2-8 weeks DART+pykrx self-build (S1),"KR-LIQ-FRAGILITY-AVOID-001,KR-LIQ-MIGRATION-001,KR-TURNOVER-ATTENTION-001,KR-TRADABILITY-RESUME-RISK-001",Round 2 Step 5 Gate 5 FAIL origin,2026-05-22T03:37:06.280785+00:00
G5_000002,KR-G5-ADJOHLC-CORPACT-AUDIT-001,adjust_function_alias_check,adjusted_column_is_raw_alias,critical,src/utils/corporate_action.py:94,function adjust_for_corporate_actions(),969208,815,2018-01-02 ~ 2024-12-30,verified_against_internal,1.0,"adjust_for_corporate_actions() produces adjusted_* columns that equal raw column values exactly (alias only, no actual adjustment)",requires_both,high,doc/naming fix immediate; actual adjustment requires event log source,"KR-LIQ-FRAGILITY-AVOID-001,KR-LIQ-MIGRATION-001,KR-TURNOVER-ATTENTION-001,KR-TRADABILITY-RESUME-RISK-001",Function name misleading; docstring acknowledges leave-prices-intact design but downstream may assume actual adjustment,2026-05-22T03:37:06.280785+00:00
G5_000003,KR-G5-ADJOHLC-CORPACT-AUDIT-001,function_logic_inspection,metadata_only_no_actual_adjustment,high,src/utils/corporate_action.py:85-107,adjust_for_corporate_actions body,969208,815,2018-01-02 ~ 2024-12-30,verified_against_internal,,Function only generates adjustment_factor metadata for split_like rows (abs return >50%); does not apply factor to price values,requires_code_fix,medium,"1-2 weeks W001 v2 new function apply_corporate_action_adjustment(event_log, panel)",all return-based diagnostic,Design intent = fail-soft auditability; risk = downstream caller misinterpretation,2026-05-22T03:37:06.280785+00:00
G5_000004,KR-G5-ADJOHLC-CORPACT-AUDIT-001,extreme_discontinuity_ledger,extreme_return_unexplained,critical,reports/experiments/KR_G5_ADJOHLC_CORPACT_AUDIT_001/extreme_discontinuity_ledger.csv,147 events across 2018-2024,147,0,2018-2024,unverified,,"147 |daily return| > 50% events; class candidates: large_drop 67, split_candidate 40, possible 17, reverse 16, large_combination 7. Top: 미래산업 79->3700 (=+4583%)",requires_external_source,medium,requires S2 corporate action event log,all return-based diagnostic,Each event needs external source confirmation of split/merge/reduction/rights vs true loss,2026-05-22T03:37:06.280785+00:00
G5_000005,KR-G5-ADJOHLC-CORPACT-AUDIT-001,corporate_action_source_requirement,event_source_missing,critical,repo,no corporate action event log in research_input_data,0,0,,not_applicable,,OPENDART parquet has title-only flags (flag_cb_bw / flag_capital_raise / flag_treasury_stock) but no body parsing of factor / shares / effective_date,requires_external_source,medium,OPENDART body parser 2-8 weeks self-build or 1-4 weeks vendor,G5_000004,S2 missing source register entry,2026-05-22T03:37:06.280785+00:00
G5_000006,KR-G5-ADJOHLC-CORPACT-AUDIT-001,factor_chain_reproducibility,corporate_action_factor_unreproducible,high,src/utils/corporate_action.py,adjustment_factor column generated but only for split_like single-period rows,147,0,2018-2024,unverified,,No cumulative chronological factor chain across events per ticker; no event log to validate factor sequence,requires_external_source,medium,depends on G5_000005 unblock,all return-based diagnostic,,2026-05-22T03:37:06.280785+00:00
G5_000007,KR-G5-ADJOHLC-CORPACT-AUDIT-001,delisted_renamed_inclusion,delisted_name_excluded_from_panel,medium,research_input_data/inputs/equity_panels/dynamic_top100_2018_2024_panel.csv,panel/ticker,0,258,panel mid period,unverified,,258 tickers last seen >30d before panel end; cause (delisting/merge/rename/panel filter) unknown without KR-ID-LIFECYCLE-MASTER-AUDIT-001 (Priority 1B) cross-reference,requires_external_source,medium,cross-reference with KR-ID-LIFECYCLE audit,KR-TOP100-PIT-LINEAGE-AUDIT-001,1B partial overlap,2026-05-22T03:37:06.280785+00:00
ID_000001,KR-ID-LIFECYCLE-MASTER-AUDIT-001,stock_code_uniqueness,none,informational,panel,"(날짜, 종목코드) pair",0,0,2018-2026,verified_against_internal,1.0,"(날짜, 종목코드) pair 모두 unique (0 duplicates). 정상.",not_repairable,unknown,,,positive finding,2026-05-22T03:40:24.433262+00:00
ID_000002,KR-ID-LIFECYCLE-MASTER-AUDIT-001,disappeared_ticker,delisting_terminal_event_missing,high,panel,299 tickers last seen >30d before panel end,0,299,2018-2024 mid period,unverified,,"299 disappeared tickers; 101 long_inactive (>1000d before end), 194 mid_inactive (>365d), 4 recent (<365d). 251 of 299 (84%) found in DART corp_code.",requires_external_source,medium,KRX delisting archive + DART delisting disclosures = 1-2 weeks,"KR-TOP100-PIT-LINEAGE-AUDIT-001,KR-G5-ADJOHLC-CORPACT-AUDIT-001 (delisted_name_check)",terminal event reason (delisting/merger/voluntary) 별도 source 필요,2026-05-22T03:40:24.433262+00:00
ID_000003,KR-ID-LIFECYCLE-MASTER-AUDIT-001,reappeared_code,code_reuse_unrecognized,medium,panel,307 tickers with >90d gap,0,307,2018-2026,unverified,,"307 tickers reappeared after >90d gap. 12 with name change (potential reuse OR rename). Without delisting/relisting/reuse status source, cannot distinguish reuse from suspension+resume.",requires_external_source,medium,KRX listing status archive = 1-2 weeks,KR-TRADABILITY-SEMANTICS-AUDIT-001,12 name-change cases priority audit; 295 likely suspension+resume,2026-05-22T03:40:24.433262+00:00
