defect_id,severity,file_path,line_number,column_name,patch_status_pre_runtime,runtime_status_at_runtime_phase,residual_patch_status,residual_patch_evidence,reopen_blocker_preserved
QENF_00042,medium,src/data/pit_sector_aggregator.py,215,daily_return,not_patched_requires_future_work,runtime_other,false_positive_static_scan,"callsite at line 215 is a column-name reference inside a .loc[:, columns] selection list (output schema declaration), not a value-bearing read; data already filtered upstream by src/data/sector_aggregator.py:_read_panel via apply_ohlcv_quarantine(mode='filter') — see future_work_item_resolution.md",true
QENF_00043,high,src/strategies/p003_d013_cost_capacity.py,94,거래대금추정,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/p003_d013_cost_capacity.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00044,medium,src/strategies/p003_d013_cost_capacity.py,99,거래대금추정,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/p003_d013_cost_capacity.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00045,high,src/strategies/p003_d013_cost_capacity.py,102,거래대금추정,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/p003_d013_cost_capacity.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00046,high,src/strategies/p003_d013_cost_capacity.py,105,거래대금추정,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/p003_d013_cost_capacity.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00047,medium,src/strategies/p002_d013_execution.py,18,KRX종가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/p002_d013_execution.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00048,medium,src/strategies/p002_d013_execution.py,19,KRX종가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/p002_d013_execution.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00049,medium,src/strategies/p002_d013_execution.py,26,시가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/p002_d013_execution.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00050,medium,src/strategies/p002_d013_execution.py,27,시가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/p002_d013_execution.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00051,medium,src/strategies/p002_d013_execution.py,34,시가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/p002_d013_execution.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00052,medium,src/strategies/p002_d013_execution.py,35,시가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/p002_d013_execution.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00053,medium,src/strategies/p002_d013_execution.py,42,고가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/p002_d013_execution.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
